timestamp,run,repetition,task,model,exit_code,correct,duration_seconds,used_5h_before,used_5h_after,delta_5h,reset_5h,used_weekly_before,used_weekly_after,delta_weekly,reset_weekly,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,command_executions,agent_messages,event_count,parse_errors,thread_id,rate_snapshot_count,rate_coherent_count,rate_ambiguous,rate_reset_pairs,rate_session_file,rate_session_match_count,resolved_model,resolved_effort,cli_version,session_id,model_context_window,answer,model_verified,tool_count_expected,message_count_expected,model_calls_expected,input_token_in_expected_band,quota_valid,telemetry_valid
2026-07-11T22:34:09.886858+00:00,1,1,aggregate,gpt-5.6-sol,0,True,7.876,42.0,,,,24.0,,,,27638,26112,1526,227,91,1,1,6,0,019f5350-d99a-79c3-929e-b526caf92318,2,0,False,"[[1783817163, 1784403963]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-33-55-019f5350-d99a-79c3-929e-b526caf92318.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5350-d99a-79c3-929e-b526caf92318,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,False,False
2026-07-11T22:34:26.555348+00:00,2,1,aggregate,gpt-5.6-sol,0,True,8.597,42.0,43.0,1.0,1783825346,24.0,24.0,0.0,1784393379,27717,26112,1605,239,103,1,1,6,0,019f5351-32b3-7cc1-a660-3aa30653ac99,2,1,True,"[[1783817163, 1784403963], [1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-34-18-019f5351-32b3-7cc1-a660-3aa30653ac99.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5351-32b3-7cc1-a660-3aa30653ac99,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,False,False
2026-07-11T22:34:48.892947+00:00,3,1,aggregate,gpt-5.5,0,True,14.134,43.0,45.0,2.0,1783825346,24.0,25.0,1.0,1784393379,27790,15104,12686,420,293,1,1,6,0,019f5351-77f3-7492-bc70-0e1a39d399fd,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-34-35-019f5351-77f3-7492-bc70-0e1a39d399fd.jsonl,1,gpt-5.5,medium,0.144.0,019f5351-77f3-7492-bc70-0e1a39d399fd,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T22:35:30.087843+00:00,4,1,aggregate,gpt-5.5,0,True,33.097,45.0,46.0,1.0,1783825346,25.0,25.0,0.0,1784393379,57864,54784,3080,1444,259,2,1,8,0,019f5351-caef-7282-a3f8-0bd4e7b3c440,4,4,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-34-57-019f5351-caef-7282-a3f8-0bd4e7b3c440.jsonl,1,gpt-5.5,medium,0.144.0,019f5351-caef-7282-a3f8-0bd4e7b3c440,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,False,True,False,False,True,True
2026-07-11T22:35:50.580956+00:00,5,1,dependencies,gpt-5.5,0,True,12.354,46.0,46.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27547,26368,1179,410,288,1,1,6,0,019f5352-6be2-76d2-9c59-097bea4a20bf,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-35-38-019f5352-6be2-76d2-9c59-097bea4a20bf.jsonl,1,gpt-5.5,medium,0.144.0,019f5352-6be2-76d2-9c59-097bea4a20bf,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:36:11.034014+00:00,6,1,dependencies,gpt-5.5,0,True,12.358,46.0,46.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27552,26368,1184,477,355,1,1,6,0,019f5352-bbc7-77b3-b9c6-d642a0df1d22,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-35-58-019f5352-bbc7-77b3-b9c6-d642a0df1d22.jsonl,1,gpt-5.5,medium,0.144.0,019f5352-bbc7-77b3-b9c6-d642a0df1d22,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:36:27.177885+00:00,7,1,dependencies,gpt-5.6-sol,0,True,8.051,46.0,46.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27435,13056,14379,254,123,1,1,6,0,019f5353-0bf0-7571-bb4c-3130f07ceeb1,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-36-19-019f5353-0bf0-7571-bb4c-3130f07ceeb1.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5353-0bf0-7571-bb4c-3130f07ceeb1,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:36:47.060768+00:00,8,1,dependencies,gpt-5.6-sol,0,True,11.784,46.0,47.0,1.0,1783825346,25.0,25.0,0.0,1784393379,27436,13056,14380,307,176,1,1,6,0,019f5353-4c54-75a3-a57b-eb59bfe78ff9,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-36-35-019f5353-4c54-75a3-a57b-eb59bfe78ff9.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5353-4c54-75a3-a57b-eb59bfe78ff9,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:37:07.087079+00:00,9,1,schedule,gpt-5.6-sol,0,True,11.928,47.0,47.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27509,26112,1397,341,211,1,1,6,0,019f5353-9896-7a20-b36f-e816b48b066b,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-36-55-019f5353-9896-7a20-b36f-e816b48b066b.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5353-9896-7a20-b36f-e816b48b066b,353400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T22:37:26.701948+00:00,10,1,schedule,gpt-5.6-sol,0,True,11.482,47.0,47.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27507,13056,14451,430,300,1,1,6,0,019f5353-e6ec-74a0-9839-cbc8afc00ef5,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-37-15-019f5353-e6ec-74a0-9839-cbc8afc00ef5.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5353-e6ec-74a0-9839-cbc8afc00ef5,353400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T22:37:56.968248+00:00,11,1,schedule,gpt-5.5,0,True,22.148,47.0,48.0,1.0,1783825346,25.0,25.0,0.0,1784393379,27617,26368,1249,1011,890,1,1,6,0,019f5354-3379-7e52-8e57-26a5ebaf82a9,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-37-34-019f5354-3379-7e52-8e57-26a5ebaf82a9.jsonl,1,gpt-5.5,medium,0.144.0,019f5354-3379-7e52-8e57-26a5ebaf82a9,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-11T22:38:20.832835+00:00,12,1,schedule,gpt-5.5,0,True,15.77,48.0,48.0,0.0,1783825346,25.0,25.0,0.0,1784393379,27599,26368,1231,635,516,1,1,6,0,019f5354-a9a7-7472-8b0d-f676b028ef46,2,1,True,"[[1783817163, 1784403963], [1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-38-05-019f5354-a9a7-7472-8b0d-f676b028ef46.jsonl,1,gpt-5.5,medium,0.144.0,019f5354-a9a7-7472-8b0d-f676b028ef46,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,False,False
