timestamp,run,repetition,task,model,exit_code,correct,duration_seconds,used_5h_before,used_5h_after,delta_5h,reset_5h,used_weekly_before,used_weekly_after,delta_weekly,reset_weekly,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,command_executions,agent_messages,event_count,parse_errors,thread_id,rate_snapshot_count,rate_coherent_count,rate_ambiguous,rate_reset_pairs,rate_session_file,rate_session_match_count,resolved_model,resolved_effort,cli_version,session_id,model_context_window,answer,model_verified,tool_count_expected,message_count_expected,model_calls_expected,input_token_in_expected_band,quota_valid,telemetry_valid
2026-07-11T22:09:34.101983+00:00,1,1,aggregate,gpt-5.5,0,True,12.556,17.0,18.0,1.0,1783825346,20.0,20.0,0.0,1784393379,27760,15104,12656,407,280,1,1,6,0,019f533a-613d-77b3-99d8-e09756bdacf0,2,1,True,"[[1783817163, 1784403963], [1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-09-22-019f533a-613d-77b3-99d8-e09756bdacf0.jsonl,1,gpt-5.5,medium,0.144.0,019f533a-613d-77b3-99d8-e09756bdacf0,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,False,False
2026-07-11T22:09:53.768703+00:00,2,1,aggregate,gpt-5.5,0,True,11.592,18.0,19.0,1.0,1783825346,20.0,20.0,0.0,1784393379,27767,15104,12663,360,233,1,1,6,0,019f533a-adc0-7eb1-a096-92dc8698ebb1,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-09-42-019f533a-adc0-7eb1-a096-92dc8698ebb1.jsonl,1,gpt-5.5,medium,0.144.0,019f533a-adc0-7eb1-a096-92dc8698ebb1,258400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T22:10:13.579128+00:00,3,1,aggregate,gpt-5.6-sol,0,True,11.672,19.0,20.0,1.0,1783825346,20.0,21.0,1.0,1784393379,27673,13056,14617,297,100,1,2,7,0,019f533a-faa3-7691-b030-25cf1949f875,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-10-02-019f533a-faa3-7691-b030-25cf1949f875.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f533a-faa3-7691-b030-25cf1949f875,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T22:10:31.268856+00:00,4,1,aggregate,gpt-5.6-sol,0,True,9.542,20.0,21.0,1.0,1783825346,21.0,21.0,0.0,1784393379,27644,13056,14588,238,102,1,1,6,0,019f533b-4826-7d71-98c7-59a0f885d32a,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-10-21-019f533b-4826-7d71-98c7-59a0f885d32a.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f533b-4826-7d71-98c7-59a0f885d32a,353400,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-11T22:10:48.862016+00:00,5,1,dependencies,gpt-5.6-sol,0,True,9.488,21.0,22.0,1.0,1783825346,21.0,21.0,0.0,1784393379,27432,13056,14376,250,119,1,1,6,0,019f533b-8d48-7bb1-ae68-56096b36fcc7,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-10-39-019f533b-8d48-7bb1-ae68-56096b36fcc7.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f533b-8d48-7bb1-ae68-56096b36fcc7,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:11:08.032780+00:00,6,1,dependencies,gpt-5.6-sol,0,True,11.046,22.0,22.0,0.0,1783825346,21.0,21.0,0.0,1784393379,27479,13056,14423,375,203,1,2,7,0,019f533b-d1e0-7b51-ac06-71e4c26c573b,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-10-57-019f533b-d1e0-7b51-ac06-71e4c26c573b.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f533b-d1e0-7b51-ac06-71e4c26c573b,353400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:11:31.041764+00:00,7,1,dependencies,gpt-5.5,0,True,14.922,22.0,22.0,0.0,1783825346,21.0,21.0,0.0,1784393379,27549,26368,1181,506,378,1,1,6,0,019f533c-1c88-70d3-bc6c-3a4b3c082984,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-11-16-019f533c-1c88-70d3-bc6c-3a4b3c082984.jsonl,1,gpt-5.5,medium,0.144.0,019f533c-1c88-70d3-bc6c-3a4b3c082984,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:11:48.870592+00:00,8,1,dependencies,gpt-5.5,0,True,9.729,22.0,22.0,0.0,1783825346,21.0,21.0,0.0,1784393379,27543,15104,12439,281,159,1,1,6,0,019f533c-76a1-7ce2-8b58-69b9047f6652,2,2,False,"[[1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-11-39-019f533c-76a1-7ce2-8b58-69b9047f6652.jsonl,1,gpt-5.5,medium,0.144.0,019f533c-76a1-7ce2-8b58-69b9047f6652,258400,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-11T22:12:22.111009+00:00,9,1,schedule,gpt-5.5,0,True,25.161,22.0,23.0,1.0,1783825346,21.0,21.0,0.0,1784393379,27631,15104,12527,1184,1063,1,1,6,0,019f533c-bc4c-7362-ab53-90c595fce646,2,1,True,"[[1783817163, 1784403963], [1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-11-57-019f533c-bc4c-7362-ab53-90c595fce646.jsonl,1,gpt-5.5,medium,0.144.0,019f533c-bc4c-7362-ab53-90c595fce646,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,False,False
2026-07-11T22:12:59.725729+00:00,10,1,schedule,gpt-5.5,0,True,29.517,23.0,23.0,0.0,1783825346,21.0,21.0,0.0,1784393379,27633,26368,1265,906,785,1,1,6,0,019f533d-3e0d-7be2-814c-7012adcc0c09,2,1,True,"[[1783817163, 1784403963], [1783825346, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T00-12-30-019f533d-3e0d-7be2-814c-7012adcc0c09.jsonl,1,gpt-5.5,medium,0.144.0,019f533d-3e0d-7be2-814c-7012adcc0c09,258400,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,False,False
